Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
7720,Feraligatr,,160,♂,1500,125,5,10,15,66.7,19.5,19.5,Shadow Claw,Hydro Cannon,Ice Beam,2026-02-18 23:43,2026-02-18 23:43,12/18/2024,,,0,1,2,3000,98.10%,79,98.59%,0,0,Feraligatr,,1,,,,,,,,,,,,,,,,,G
7722,Tentacruel,,73,♀,1500,131,5,14,15,75.6,23,23,Acid,Payback,Acid Spray,2026-02-18 23:43,2023-12-01 2:05,6/9/2023,76.77kg,1.9m,0,0,2,3500,99.19%,34,99.01%,0,0,Tentacruel,,0,,,,,,,,,,,,,,,,,G
7723,Pangoro,,675,♂,1500,132,11,14,14,86.7,18.5,18.5,Karate Chop,Close Combat,Night Slash,2026-02-18 23:43,2025-03-30 13:32,10/8/2024,81.48kg,1.67m,0,0,2,2200,96.53%,143,97.89%,0,0,Pangoro,,0,,,,,,,,,,,,,,,,,G
7724,Metang,,375,,1500,132,0,13,15,62.2,38,38,Fury Cutter,Gyro Ball,Psyshock,2026-02-18 23:43,2026-02-18 23:43,8/18/2024,,,0,0,2,9000,100.00%,1,100%,0,0,Metang,,0,,,,,,,,,,,,,,,,,G
7725,Wigglytuff,,40,♀,1500,224,3,14,14,68.9,29.5,29.5,Charm,Icy Wind,Swift,2026-02-18 23:43,2024-08-30 17:42,7/15/2023,,,0,0,2,5000,99.51%,21,99.27%,0,0,Wigglytuff,,0,,,,,,,,,,,,,,,,,G
7726,Amoonguss,,591,♀,1500,180,4,13,13,66.7,26.5,26.5,Astonish,Grass Knot,Foul Play,2026-02-18 23:42,2026-02-18 23:42,10/6/2024,,,0,0,2,4000,98.85%,48,98.38%,0,0,Amoonguss,,0,,,,,,,,,,,,,,,,,G
7727,Furret,,162,♀,1500,162,1,15,14,66.7,35.5,35.5,Sucker Punch,Trailblaze,Swift,2026-02-18 23:42,2026-02-18 23:42,5/18/2025,,,0,0,2,15000,100.00%,1,100%,0,0,Furret,,0,,,,,,,,,,,,,,,,,G
7728,Marowak,Alola,105,♀,1500,125,5,12,15,71.1,31.5,31.5,Hex,Shadow Bone,Bone Club,2026-02-18 23:42,2026-02-18 23:42,12/21/2024,,,0,0,2,6000,92.72%,299,97.65%,0,0,Marowak,Alola,0,,,,,,,,,,,,,,,,,G
7729,Weezing,Galar,110,♀,1500,116,5,12,13,66.7,24.5,24.5,Fairy Wind,Sludge,Brutal Swing,2026-02-18 23:42,2026-02-18 23:42,9/18/2024,,,0,0,2,3500,97.97%,84,98.17%,0,0,Weezing,Galar,0,,,,,,,,,,,,,,,,,G
7730,Typhlosion,Normal,157,♀,1500,115,7,14,12,73.3,19,19,Incinerate,Blast Burn,Thunder Punch,2026-02-18 23:41,2026-02-18 23:41,9/17/2024,,,0,1,2,3000,98.36%,68,98.25%,0,0,Typhlosion,Normal,1,,,,,,,,,,,,,,,,,G
7731,Oranguru,,765,♀,1500,141,1,7,9,37.8,24,24,Confusion,Trailblaze,Brutal Swing,2026-02-18 23:41,2026-02-18 23:41,9/22/2024,,,0,0,2,3500,98.29%,71,98.33%,0,0,Oranguru,,0,,,,,,,,,,,,,,,,,G
7732,Skarmory,,227,♀,1500,123,0,15,14,64.4,27.5,27.5,Steel Wing,Brave Bird,Sky Attack,2026-02-18 23:41,2024-06-05 20:00,6/5/2024,32.06kg,1.5m,0,0,2,4500,100.00%,1,100%,0,0,Skarmory,,0,,,,,,,,,,,,,,,,,G
7733,Stunfisk,Normal,618,♂,1500,173,6,12,14,71.1,26,26,Thunder Shock,Discharge,Mud Bomb,2026-02-18 23:39,2023-12-01 2:13,4/30/2023,20.21kg,0.94m,0,0,2,4000,96.61%,140,98.04%,0,0,Stunfisk,Normal,0,,,,,,,,,,,,,,,,,G
7734,Flygon,,330,♀,1500,125,4,11,15,66.7,21,21,Dragon Tail,Earth Power,Sand Tomb,2026-02-18 23:39,2023-12-01 2:09,6/20/2023,62.37kg,1.92m,0,0,2,3000,99.17%,35,98.99%,0,0,Flygon,,0,,,,,,,,,,,,,,,,,G
7735,Dedenne,,702,♀,1500,134,2,15,15,71.1,31.5,31.5,Thunder Shock,Play Rough,Parabolic Charge,2026-02-18 23:39,2023-12-01 2:14,11/20/2022,,,0,0,2,6000,99.78%,10,99.48%,0,0,Dedenne,,0,,,,,,,,,,,,,,,,,G
7736,Empoleon,,395,♂,1500,125,0,13,15,62.2,19.5,19.5,Steel Wing,Hydro Cannon,Drill Peck,2026-02-18 23:39,2024-02-21 2:59,2/21/2024,,,0,0,2,2500,100.00%,1,100%,0,0,Empoleon,,0,,,,,,,,,,,,,,,,,G
7737,Dragonair,,148,♂,1500,129,0,11,14,55.6,35.5,35.5,Dragon Breath,Wrap,Aqua Tail,2026-02-18 23:39,2023-12-01 2:06,11/5/2022,17.06kg,4.5m,0,0,2,15000,99.41%,25,99.01%,0,0,Dragonair,,0,,,,,,,,,,,,,,,,,G
7738,Ferrothorn,,598,♂,1500,126,5,15,15,77.8,24,24,Bullet Seed,Thunder,Power Whip,2026-02-18 23:39,2024-07-16 11:30,7/14/2024,,,0,0,2,3500,98.07%,80,98.32%,0,0,Ferrothorn,,0,,,,,,,,,,,,,,,,,G
7739,Corviknight,,823,♂,1500,152,0,13,14,60,23.5,23.5,Sand Attack,Air Cutter,Payback,2026-02-18 23:39,2026-02-18 23:39,5/3/2025,,,0,0,2,3500,100.00%,1,100%,0,0,Corviknight,,0,,,,,,,,,,,,,,,,,G
7740,Dialga,Normal,483,,1500,104,12,10,8,66.7,13.5,13.5,Dragon Breath,Thunder,Iron Head,2026-02-18 23:39,2026-02-18 23:39,5/17/2025,,,0,1,2,1921,85.59%,591,97.42%,0,0,Dialga,Normal,1,,,,,,,,,,,,,,,,,G
7741,Scizor,Normal,212,♀,1500,103,1,15,6,48.9,19,19,Bullet Punch,Trailblaze,Night Slash,2026-02-18 23:39,2026-02-18 23:39,6/22/2024,,,0,1,2,3000,99.10%,38,98.86%,0,0,Scizor,Normal,1,,,,,,,,,,,,,,,,,G
7742,Salazzle,,758,♀,1500,115,6,15,15,80,22,22,Incinerate,Dragon Pulse,Poison Fang,2026-02-18 23:39,2025-05-13 10:58,11/27/2024,37.2kg,1.44m,0,0,2,3000,99.73%,12,99.48%,0,0,Salazzle,,0,,,,,,,,,,,,,,,,,G
7743,Mantine,,226,♀,1500,123,0,15,14,64.4,27.5,27.5,Wing Attack,Water Pulse,Aerial Ace,2026-02-18 23:39,2024-09-06 14:47,4/4/2024,173.22kg,1.82m,0,0,2,4500,100.00%,1,100%,0,0,Mantine,,0,,,,,,,,,,,,,,,,,G
7744,Zweilous,,634,♂,1500,143,0,11,14,55.6,33.5,33.5,Dragon Breath,Dark Pulse,Body Slam,2026-02-18 23:38,2025-05-21 18:24,5/21/2025,,,0,0,2,7000,99.95%,3,99.59%,0,0,Zweilous,,0,,,,,,,,,,,,,,,,,G
7745,Bibarel,,400,♀,1500,152,1,11,15,60,33.5,33.5,Rollout,Hyper Fang,Surf,2026-02-18 23:38,2026-02-18 23:38,5/9/2023,,,0,0,2,7000,99.12%,37,99.00%,0,0,Bibarel,,0,,,,,,,,,,,,,,,,,G
7746,Haxorus,,612,♀,1500,103,1,12,14,60,15.5,15.5,Counter,Breaking Swipe,Night Slash,2026-02-18 23:38,2023-12-01 2:13,6/10/2023,59.71kg,1.39m,0,0,2,1900,99.78%,10,99.27%,0,0,Haxorus,,0,,,,,,,,,,,,,,,,,G
7747,Drapion,,452,♂,1500,118,0,14,11,55.6,23.5,23.5,Poison Sting,Crunch,Aqua Tail,2026-02-18 23:38,2024-08-23 11:03,8/23/2024,92.58kg,1.54m,0,1,2,4200,99.95%,3,99.74%,0,0,Drapion,,1,,,,,,,,,,,,,,,,,G
7748,Slurpuff,,685,♂,1500,137,5,15,11,68.9,25.5,25.5,Fairy Wind,Flamethrower,Energy Ball,2026-02-18 23:38,2023-12-01 2:14,6/24/2023,,,0,0,2,4000,97.66%,97,98.10%,0,0,Slurpuff,,0,,,,,,,,,,,,,,,,,G
7749,Cradily,,346,♂,1500,142,7,15,14,80,25,25,Acid,Rock Tomb,Grass Knot,2026-02-18 23:38,2026-02-18 23:38,8/13/2024,,,0,0,2,4000,93.46%,269,97.83%,0,0,Cradily,,0,,,,,,,,,,,,,,,,,G
7750,Golurk,,623,,1500,129,0,12,11,51.1,20,20,Mud-Slap,Dynamic Punch,Shadow Punch,2026-02-18 23:38,2026-02-18 23:38,10/13/2024,,,0,1,2,18000,99.98%,2,99.84%,0,0,Golurk,,1,,,,,,,,,,,,,,,,,G
7752,Venusaur,Normal,3,♂,1500,122,4,14,13,68.9,20.5,20.5,Vine Whip,Frenzy Plant,Sludge Bomb,2026-02-18 23:38,2023-12-01 2:03,8/29/2023,93.27kg,1.66m,0,0,2,2500,99.00%,42,98.78%,0,0,Venusaur,Normal,0,,,,,,,,,,,,,,,,,G
7753,Froslass,,478,♀,1500,131,0,11,13,53.3,28.5,28.5,Powder Snow,Shadow Ball,Avalanche,2026-02-18 23:38,2024-09-06 15:15,12/28/2023,,,0,0,2,4500,99.56%,19,98.57%,0,0,Froslass,,0,,,,,,,,,,,,,,,,,G
7755,Clefable,,36,♀,1500,147,2,12,11,55.6,23.5,23.5,Fairy Wind,Moonblast,Meteor Mash,2026-02-18 23:38,2026-02-18 23:38,1/15/2024,,,0,0,2,3500,99.61%,17,99.20%,0,0,Clefable,,0,,,,,,,,,,,,,,,,,G
7756,Araquanid,,752,♂,1500,136,2,15,11,62.2,34,34,Bug Bite,Water Pulse,Bubble Beam,2026-02-18 23:38,2026-02-18 23:38,1/1/2024,,,0,0,2,15000,99.37%,27,99.29%,0,0,Araquanid,,0,,,,,,,,,,,,,,,,,G
7757,Abomasnow,Normal,460,♂,1500,143,5,15,14,75.6,23.5,23.5,Powder Snow,Energy Ball,Weather Ball,2026-02-18 23:38,2026-02-18 23:38,11/25/2024,,,0,1,2,4200,99.58%,18,99.28%,0,0,Abomasnow,Normal,1,,,,,,,,,,,,,,,,,G
7758,Fearow,,22,♀,1500,125,0,12,12,53.3,29,29,Peck,Drill Run,Drill Peck,2026-02-18 23:38,2025-02-22 12:09,2/18/2025,,,0,0,2,5000,99.54%,20,98.90%,0,0,Fearow,,0,,,,,,,,,,,,,,,,,G
7759,Annihilape,,979,♀,1500,140,3,15,13,68.9,17,17,Counter,Rage Fist,Ice Punch,2026-02-18 23:38,2026-02-18 23:38,11/10/2024,,,0,0,2,2200,99.90%,5,99.74%,0,0,Annihilape,,0,,,,,,,,,,,,,,,,,G
7760,Spiritomb,,442,♂,1500,103,12,6,13,68.9,26.5,26.5,Sucker Punch,Shadow Ball,Rock Tomb,2026-02-18 23:38,2026-02-18 23:38,10/31/2023,,,0,0,2,4000,73.43%,1089,96.07%,0,0,Spiritomb,,0,,,,,,,,,,,,,,,,,G
7761,Charizard,Normal,6,♀,1500,114,12,14,14,88.9,18.5,18.5,Dragon Breath,Blast Burn,Air Cutter,2026-02-18 23:38,2023-12-03 22:48,9/5/2022,,,0,1,2,2640,89.21%,443,96.90%,0,0,Charizard,Normal,1,,,,,,,,,,,,,,,,,G
7762,Malamar,Normal,687,♀,1500,136,13,15,15,95.6,22.5,22.5,Psywave,Superpower,Foul Play,2026-02-18 23:37,2026-02-18 23:37,5/23/2025,,,0,1,2,3601,88.69%,464,97.15%,0,0,Malamar,Normal,1,,,,,,,,,,,,,,,,,G
7763,Milotic,,350,♀,1500,134,0,11,15,57.8,19,19,Dragon Tail,Wrap,Aqua Tail,2026-02-18 23:37,2026-02-18 23:37,9/29/2023,,,0,0,2,2500,99.95%,3,99.78%,0,0,Milotic,,0,,,,,,,,,,,,,,,,,G
7764,Piloswine,,221,♂,1500,155,0,15,10,55.6,24.5,24.5,Powder Snow,Stone Edge,Icicle Spear,2026-02-18 23:37,2024-02-09 16:28,2/9/2024,32.38kg,0.87m,0,0,2,3500,100.00%,1,100%,0,0,Piloswine,,0,,,,,,,,,,,,,,,,,G
7765,Primeape,,57,♀,1500,117,1,15,15,68.9,24.5,24.5,Low Kick,Rage Fist,Close Combat,2026-02-18 23:37,2024-09-12 16:14,9/12/2024,58.89kg,1.33m,0,0,2,3500,100.00%,1,100%,0,0,Primeape,,0,,,,,,,,,,,,,,,,,G
7766,Annihilape,,979,♂,1500,134,13,15,6,75.6,16.5,16.5,Counter,Rage Fist,Close Combat,2026-02-18 23:37,2026-02-18 23:37,12/18/2024,,,0,0,2,1900,82.52%,717,96.81%,0,0,Annihilape,,0,,,,,,,,,,,,,,,,,G
7767,Steelix,Normal,208,♀,1500,126,6,5,14,55.6,23.5,23.5,Thunder Fang,Crunch,Psychic Fangs,2026-02-18 23:37,2026-02-18 23:37,1/13/2023,,,0,1,2,4200,93.43%,270,97.14%,0,0,Steelix,Normal,1,,,,,,,,,,,,,,,,,G
7768,Hippowdon,,450,♀,1500,142,5,13,13,68.9,18,18,Ice Fang,Scorching Sands,Weather Ball,2026-02-18 23:37,2026-02-18 23:37,6/28/2024,,,0,0,2,2200,98.24%,73,98.54%,0,0,Hippowdon,,0,,,,,,,,,,,,,,,,,G
7769,Dunsparce,,206,♀,1500,188,1,14,15,66.7,39,39,Rollout,Drill Run,Rock Slide,2026-02-18 23:37,2026-02-18 23:37,11/16/2022,,,0,0,2,15000,99.95%,3,99.86%,0,0,Dunsparce,,0,,,,,,,,,,,,,,,,,G
7770,Charizard,Normal,6,♀,1500,112,15,14,9,84.4,18.5,18.5,Ember,Blast Burn,Air Cutter,2026-02-18 23:37,2023-12-03 22:48,11/13/2022,,,0,1,2,2640,82.78%,706,96.41%,0,0,Charizard,Normal,1,,,,,,,,,,,,,,,,,G
7772,Goodra,Normal,706,♂,1500,118,1,14,14,64.4,16,16,Dragon Breath,Thunder Punch,Aqua Tail,2026-02-18 23:37,2024-06-09 14:56,6/9/2024,64.23kg,1.54m,0,0,2,1900,100.00%,1,100%,0,0,Goodra,Normal,0,,,,,,,,,,,,,,,,,G
7773,Golbat,,42,♂,1500,139,3,11,13,60,29,29,Wing Attack,Shadow Ball,Poison Fang,2026-02-18 23:37,2024-08-30 17:43,8/24/2023,,,0,1,2,6000,98.12%,78,97.98%,0,0,Golbat,,1,,,,,,,,,,,,,,,,,G
7774,Sealeo,,364,♂,1500,170,2,14,13,64.4,37.5,37.5,Powder Snow,Surf,Body Slam,2026-02-18 23:37,2024-10-02 16:06,10/1/2024,,,0,0,2,9000,99.22%,33,98.87%,0,0,Sealeo,,0,,,,,,,,,,,,,,,,,G
7775,Dusclops,,356,♀,1500,107,4,13,14,68.9,42.5,42.5,Hex,Ice Punch,Shadow Punch,2026-02-18 23:37,2026-02-18 23:37,10/6/2022,,,0,0,2,12000,96.09%,161,98.15%,0,0,Dusclops,,0,,,,,,,,,,,,,,,,,G
7776,Pelipper,,279,♀,1500,116,4,12,14,66.7,26.5,26.5,Wing Attack,Hurricane,Weather Ball,2026-02-18 23:37,2024-01-06 12:02,6/8/2023,45.51kg,1.4m,0,0,2,4000,99.41%,25,98.69%,0,0,Pelipper,,0,,,,,,,,,,,,,,,,,G
7777,Gastrodon,,423,♀,1500,170,1,15,14,66.7,24.5,24.5,Mud-Slap,Water Pulse,Body Slam,2026-02-18 23:37,2024-12-31 13:52,12/31/2024,33.39kg,0.9m,0,0,2,3500,100.00%,1,100%,0,0,Gastrodon,,0,,,,,,,,,,,,,,,,,G
7778,Poliwrath,,62,♂,1500,137,2,12,13,60,22,22,Counter,Ice Punch,Scald,2026-02-18 23:36,2023-12-01 2:05,7/30/2023,54.7kg,1.31m,0,0,2,3000,99.24%,32,98.64%,0,0,Poliwrath,,0,,,,,,,,,,,,,,,,,G
7,Ninetales,Normal,38,♀,1499,127,3,10,14,60,25,25,Ember,Energy Ball,Weather Ball,2026-06-08 12:48,2026-01-25 3:02,1/25/2026,,,0,1,2,4800,98.58%,59,98.52%,0,0,Ninetales,Normal,1,,,,,,,,,,,,,,,,,G
10,Kingdra,,230,♀,1499,120,2,11,13,57.8,21.5,21.5,Dragon Breath,Surf,Swift,2026-06-08 12:47,2026-03-01 22:10,3/1/2026,,,0,0,2,3000,99.78%,10,99.10%,0,0,Kingdra,,0,,,,,,,,,,,,,,,,,G
7571,Altaria,Normal,334,♀,1499,135,7,13,11,68.9,28,28,Dragon Breath,Flamethrower,Sky Attack,2026-02-24 14:28,2026-02-18 23:43,10/12/2025,,,0,0,2,4500,84.44%,638,96.58%,0,0,Altaria,Normal,0,,,,,,,,,,,,,,,,,G
7572,Spidops,,918,♀,1499,133,0,13,14,60,39.5,39.5,Shadow Claw,Rock Tomb,Lunge,2026-02-24 14:27,2026-02-18 23:44,11/4/2025,,,0,0,2,15000,100.00%,1,100%,0,0,Spidops,,0,,,,,,,,,,,,,,,,,G
7573,Thievul,,828,♂,1499,127,0,15,11,57.8,27,27,Sucker Punch,Play Rough,Night Slash,2026-02-24 14:27,2026-02-18 23:45,11/16/2025,,,0,0,2,4500,100.00%,1,100%,0,0,Thievul,,0,,,,,,,,,,,,,,,,,G
7671,Bruxish,,779,♀,1499,119,1,14,15,66.7,23.5,23.5,Bite,Psychic Fangs,Aqua Tail,2026-02-18 23:47,2026-02-18 23:47,9/10/2024,,,0,0,2,3500,99.98%,2,99.85%,0,0,Bruxish,,0,,,,,,,,,,,,,,,,,G
7672,Raticate,Alola,20,♀,1499,153,0,13,14,60,39,39,Quick Attack,Hyper Fang,Crunch,2026-02-18 23:47,2023-12-01 2:03,11/26/2022,30.06kg,0.76m,0,0,2,15000,100.00%,1,100%,0,0,Raticate,Alola,0,,,,,,,,,,,,,,,,,G
7673,Toxapex,,748,♂,1499,120,0,15,15,66.7,40.5,40.5,Poison Jab,Sludge Wave,Brine,2026-02-18 23:47,2026-02-18 23:47,12/20/2024,,,0,0,2,11000,100.00%,1,100%,0,0,Toxapex,,0,,,,,,,,,,,,,,,,,G
7674,Azumarill,,184,♂,1499,195,1,14,15,66.7,45,45,Bubble,Play Rough,Ice Beam,2026-02-18 23:46,2024-01-13 19:51,1/13/2024,,,0,0,2,13000,99.63%,16,99.17%,0,0,Azumarill,,0,,,,,,,,,,,,,,,,,G
7675,Decidueye,Normal,724,♂,1499,119,5,12,14,68.9,20,20,Astonish,Frenzy Plant,Spirit Shackle,2026-02-18 23:46,2023-12-01 2:15,10/11/2022,,,0,0,2,2500,98.73%,53,98.85%,0,0,Decidueye,Normal,0,,,,,,,,,,,,,,,,,G
7676,Cofagrigus,,563,♂,1499,109,3,13,13,64.4,25,25,Shadow Claw,Dark Pulse,Shadow Ball,2026-02-18 23:46,2023-12-01 2:12,10/21/2022,86.8kg,1.89m,0,0,2,4000,99.27%,31,98.83%,0,0,Cofagrigus,,0,,,,,,,,,,,,,,,,,G
7677,Mightyena,,262,♂,1499,135,0,13,13,57.8,30,30,Sucker Punch,Crunch,Poison Fang,2026-02-18 23:46,2026-02-18 23:46,1/27/2023,,,0,0,2,5000,99.98%,2,99.95%,0,0,Mightyena,,0,,,,,,,,,,,,,,,,,G
7678,Altaria,Normal,334,♂,1499,139,4,11,14,64.4,28.5,28.5,Dragon Breath,Moonblast,Sky Attack,2026-02-18 23:46,2024-04-05 14:41,4/4/2024,,,0,0,2,4500,98.39%,67,98.24%,0,0,Altaria,Normal,0,,,,,,,,,,,,,,,,,G
7679,Magnezone,,462,,1499,103,2,3,10,33.3,18,18,Volt Switch,Wild Charge,Mirror Shot,2026-02-18 23:46,2026-02-18 23:46,1/23/2024,,,0,1,2,18000,97.26%,113,98.01%,0,0,Magnezone,,1,,,,,,,,,,,,,,,,,G
7680,Whiscash,,340,♂,1499,177,5,15,13,73.3,27,27,Mud Shot,Scald,Mud Bomb,2026-02-18 23:46,2024-01-25 1:39,1/23/2024,,,0,0,2,4500,98.80%,50,98.59%,0,0,Whiscash,,0,,,,,,,,,,,,,,,,,G
7681,Greninja,,658,♂,1499,115,7,9,12,62.2,21,21,Water Shuriken,Hydro Cannon,Night Slash,2026-02-18 23:46,2026-02-18 23:46,8/13/2023,,,0,0,2,3000,95.56%,183,98.11%,0,0,Greninja,,0,,,,,,,,,,,,,,,,,G
7682,Swalot,,317,♂,1499,172,0,15,13,62.2,29.5,29.5,Mud Shot,Ice Beam,Sludge,2026-02-18 23:46,2026-02-18 23:46,5/29/2024,,,0,0,2,5000,99.98%,2,100%,0,0,Swalot,,0,,,,,,,,,,,,,,,,,G
7684,Trevenant,,709,♀,1499,132,5,9,13,60,22,22,Shadow Claw,Shadow Ball,Seed Bomb,2026-02-18 23:45,2023-12-01 2:14,10/24/2023,62.91kg,1.52m,0,0,2,3000,97.44%,106,98.11%,0,0,Trevenant,,0,,,,,,,,,,,,,,,,,G
7685,Annihilape,,979,♀,1499,141,4,3,12,42.2,17.5,17.5,Counter,Rage Fist,Ice Punch,2026-02-18 23:45,2026-02-18 23:45,3/6/2025,,,0,0,2,15000,89.87%,416,97.41%,0,0,Annihilape,,0,,,,,,,,,,,,,,,,,G
7686,Emolga,,587,♀,1499,127,0,12,14,57.8,41.5,41.5,Thunder Shock,Acrobatics,Discharge,2026-02-18 23:45,2026-02-18 23:45,3/3/2024,,,0,0,2,11000,99.58%,18,99.13%,0,0,Emolga,,0,,,,,,,,,,,,,,,,,G
