,Abomasnow PS+WBI/EB 0/15/15,Amoonguss A+GK/FoP 0/14/15,Barbaracle FC+CrC/SE 0/10/13,Blastoise RO+HC/SkB 1/15/15,Cofagrigus SC+SB/DP 0/11/14,Dartrix Pk+BrB/SeB 0/15/14,Dewgong IS+IW/DR 0/12/15,Doublade SC+SSw/GB 0/11/14,Drifblim A+IW/SB 0/15/12,Feraligatr SC+HC/IB 0/11/13,Froslass PS+Av/SB 0/15/15,Galvantula VS+D/Lu 0/15/15,Golbat WA+PF/SB 0/15/15,Golbat (Shadow) WA+PF/SB 0/15/15,Golisopod SC+XS/AJ 0/8/15,Gyarados DB+AT/Cr 0/14/15,Lokix SkP+XS/TBl 0/14/14,Marowak (Alolan) FS+BC/SBo 0/14/14,Pelipper WA+WBW/Hu 0/12/15,Runerigus SC+SB/RT 0/11/14,Samurott (Shadow) FC+HC/Mh 0/14/14,Seaking Pk+DR/IW 0/14/14,Sealeo PS+S/BS 0/15/14,Sealeo (Shadow) PS+S/BS 0/15/14,Skuntank PJ+Cr/TBl 0/15/15,Skuntank (Shadow) PJ+Cr/TBl 0/15/15,Slowking (Galarian) Ac+Psh/SB 0/14/13,Swalot MS+Sl/IB 0/14/14,Tentacruel Ac+Sc/Pbk 1/15/15,Trevenant SC+SeB/SB 0/15/15,Weezing RO+SlB/SB 0/14/14,Weezing (Galarian) FW+Sl/BrS 0/14/14,Wins,Losses,Draws,Average
Beedrill (Shadow) PSt+XS/DR 6/15/14,751,374,767,376,328,464,295,472,200,444,390,456,262,326,432,384,631,417,317,261,775,385,351,421,802,763,496,558,477,488,724,709,9,23,0,478
Bibarel RO+S/HF 1/11/15,458,333,384,365,634,419,621,370,694,575,644,281,569,625,703,641,644,687,495,648,375,506,476,667,403,478,414,309,340,390,532,389,15,17,0,502.16
Blastoise RO+HC/SkB 1/15/15,355,393,503,523,546,300,707,356,382,634,676,253,673,650,623,626,680,638,415,546,364,580,596,719,378,446,389,557,507,308,634,364,19,13,0,510.03
Bruxish Cf+AT/PsF 1/14/15,451,584,546,450,558,380,550,384,261,659,827,337,777,735,659,600,116,819,785,477,575,428,485,605,400,493,743,693,785,575,819,571,20,12,0,566.47
Cacturne (Shadow) SkP+TBl/DyP 6/15/10,334,554,269,411,785,293,319,794,785,424,558,701,379,407,436,416,342,393,364,785,255,428,264,290,203,196,504,254,291,794,411,211,9,23,0,432.81
Castform (Rainy) WG+WBW/T 5/12/15,168,237,510,540,409,251,680,449,384,361,581,289,492,571,400,368,676,748,360,792,178,598,608,527,421,676,496,561,325,319,608,394,14,18,0,468.03
Cherrim (Sunshine) BS+WBF/SoB 11/15/14,441,456,367,686,243,264,638,370,198,301,405,365,191,219,279,276,399,145,241,274,354,250,287,186,246,265,214,306,204,368,241,228,2,30,0,309.59
Chesnaught LK+FP/SP 2/13/14,244,371,670,761,364,196,674,379,207,440,287,539,74,74,575,674,571,251,144,405,722,385,567,531,443,511,75,257,337,195,381,80,11,21,0,387
Cloyster IS+IW/Li 0/15/12,475,680,141,273,450,467,338,152,680,357,443,273,632,400,324,547,294,417,483,574,208,332,212,267,256,312,450,395,291,443,526,427,6,26,0,391.22
Cofagrigus SC+SB/P 3/13/13,587,166,871,469,697,429,550,310,541,509,367,587,216,258,532,264,213,287,669,697,335,492,470,532,165,206,303,476,488,364,487,224,11,21,0,430.03
Cradily Ac+RT/GK 7/15/14,566,602,580,679,378,750,425,199,517,690,140,651,482,693,644,700,545,552,732,414,222,464,517,570,531,434,385,482,344,481,577,436,18,14,0,511.94
Dartrix Pk+BrB/SeB 6/15/15,251,661,789,690,799,654,304,430,474,480,352,559,532,216,638,661,680,492,720,506,789,382,360,159,601,513,292,468,484,443,283,565,16,16,0,507.09
Decidueye A+FP/SSh 5/12/14,231,396,346,668,592,422,617,554,445,309,626,768,276,326,319,340,197,362,537,592,386,428,226,267,228,378,529,378,554,617,461,461,11,21,0,432.38
Dewgong IS+IW/DR 0/12/15,486,590,141,292,441,695,500,449,611,404,371,440,645,708,369,580,471,366,618,614,200,332,409,453,602,518,492,421,420,649,677,630,13,18,1,487.31
Doublade SC+SSw/GB 12/11/15,728,278,676,623,628,557,528,557,561,349,838,373,216,785,315,360,338,330,595,477,547,346,576,542,409,496,942,619,378,628,474,666,18,14,0,522.97
Drifblim H+IW/SB 0/14/13,127,412,175,446,700,563,282,398,591,170,371,577,450,688,530,658,294,766,660,700,648,396,142,200,514,378,714,511,416,613,453,453,15,17,0,468.63
Electrode (Hisuian) TS+WC/Sw 0/13/14,220,469,762,892,180,264,646,577,762,840,185,404,607,784,840,719,724,381,840,139,668,840,599,685,450,581,146,265,724,338,440,288,18,14,0,539.34
Feraligatr SC+HC/IB 0/11/13,341,475,440,365,481,523,595,658,678,500,876,452,654,547,441,511,447,857,364,738,474,547,519,395,403,453,563,511,325,500,543,457,15,15,2,519.78
Feraligatr (Shadow) SC+HC/IB 5/10/15,675,708,576,411,756,164,580,584,660,496,836,242,540,736,472,460,612,828,628,756,259,367,395,465,456,612,756,419,337,342,828,648,18,14,0,550.13
Ferrothorn BS+PW/T 5/15/15,241,180,626,777,369,200,623,319,193,682,401,420,429,482,626,630,294,59,523,535,527,626,591,682,587,507,342,404,583,285,317,478,15,17,0,454.31
Froslass PS+Av/SB 0/11/13,858,629,158,323,629,645,622,157,507,162,812,553,706,641,166,244,270,145,595,629,222,519,345,433,812,767,656,637,401,342,751,606,19,13,0,498.19
Galvantula VS+D/Lu 0/15/15,575,338,465,746,405,429,559,654,630,547,439,523,607,531,579,805,615,354,849,184,710,781,547,366,686,615,500,381,734,432,415,461,19,12,1,545.69
Galvantula (Shadow) VS+D/Lu 0/12/13,210,183,623,690,495,591,718,305,567,757,662,734,527,718,757,853,439,192,817,229,757,734,380,453,615,535,289,471,686,551,334,634,20,12,0,547.06
Gastrodon MSl+BS/WP 1/15/14,293,325,635,626,500,158,419,632,139,558,329,658,471,347,369,312,354,664,254,561,526,570,369,415,855,823,664,752,611,161,688,738,16,15,1,493
Gengar SC+ShP/SlB 3/15/15,220,346,831,415,581,530,406,535,327,476,719,586,475,530,472,719,125,688,233,581,801,714,206,235,387,462,857,329,405,535,750,432,15,17,0,497.13
Gogoat VW+LB/RS 1/11/11,96,396,768,834,342,332,422,305,356,834,473,293,74,74,391,629,495,342,593,472,710,731,548,698,343,356,285,260,356,334,334,347,9,23,0,431.97
Golbat WA+PF/SB 0/12/12,248,571,158,338,782,454,354,782,710,345,291,392,507,667,592,571,725,692,381,503,621,553,290,287,582,378,567,375,585,696,487,639,18,14,0,503.84
Golbat (Shadow) WA+PF/SB 3/11/13,279,737,158,350,737,780,326,208,651,456,356,472,665,586,564,550,672,615,780,737,295,360,305,183,381,737,192,462,473,744,737,528,16,16,0,502.38
Golisopod FC+XS/AJ 0/8/15,743,385,702,488,423,377,666,365,311,612,420,509,280,390,599,392,680,381,364,418,522,467,657,662,747,725,464,545,329,725,411,322,14,18,0,502.53
Golurk (Shadow) MSl+ShP/DyP 0/12/11,168,251,775,461,608,254,562,449,96,337,569,751,436,554,225,124,185,670,131,569,437,717,247,264,841,872,581,775,868,240,887,507,16,16,0,481.59
Gourgeist (Large) I+SB/SeB 1/14/15,355,673,536,709,681,312,316,319,576,162,401,745,234,216,524,520,375,568,466,681,741,150,520,548,353,681,235,416,371,436,516,283,15,17,0,456.84
Greninja WSh+HC/NS 7/9/12,282,374,414,396,769,374,521,435,721,573,526,392,418,468,301,504,760,839,573,821,350,246,386,470,465,682,439,565,382,406,419,398,12,20,0,489.66
Greninja (Shadow) WSh+HC/NS 6/13/8,341,450,495,488,763,277,332,794,633,526,794,146,468,687,337,388,714,808,338,852,135,303,470,325,709,638,517,540,473,492,745,474,14,18,0,514.13
Grimer (Alolan) PJ+Cr/SlB 12/12/15,566,630,209,587,639,390,313,490,500,595,185,313,418,529,627,581,561,440,593,409,295,260,444,305,558,500,694,332,397,613,436,671,14,16,2,471.25
Grimer (Alolan) (Shadow) PJ+Cr/SlB 15/13/12,505,687,209,517,803,429,378,125,729,365,231,384,517,258,535,388,391,177,508,459,368,303,305,264,500,287,651,395,431,526,583,598,12,19,1,431.44
Grotle (Shadow) RL+BS/EB 6/13/15,189,166,855,869,382,158,487,259,271,827,412,313,145,145,364,521,294,240,444,742,700,714,491,494,265,253,217,219,375,274,258,194,7,25,0,391.78
Gyarados DB+AT/Tw 0/14/15,431,377,380,373,387,329,419,439,365,488,469,194,425,450,560,500,612,528,419,432,592,520,406,427,428,644,407,453,371,484,377,279,6,25,1,436.41
Gyarados (Shadow) DB+AT/Tw 1/6/8,200,385,699,476,423,351,347,435,459,727,654,146,432,723,752,589,565,825,585,472,752,371,412,456,638,593,435,682,488,484,711,288,14,18,0,517.34
Haunter SC+ShP/IP 0/15/15,431,377,722,419,549,698,357,504,228,484,683,638,683,673,481,727,125,668,457,549,806,435,360,421,393,471,861,335,458,504,717,207,15,17,0,513.16
Jumpluff FW+AA/EB 0/14/14,96,563,541,434,592,303,279,402,346,285,276,452,244,269,550,681,592,374,326,418,624,371,398,441,446,328,246,193,424,608,427,258,8,24,0,399.59
Jumpluff (Shadow) FW+AA/Acr 2/13/14,96,635,256,469,564,341,285,365,358,317,306,567,407,74,696,696,770,358,483,551,412,132,369,119,475,609,403,317,359,803,427,419,9,23,0,419.94
Leavanny SC+LB/XS 1/12/13,158,377,698,570,468,338,357,430,431,809,586,460,248,195,409,484,665,192,389,490,603,457,450,661,356,287,453,413,371,747,343,292,8,24,0,443.34
Ledian BBi+DyP/AA 15/15/14,451,616,311,342,486,245,440,310,266,646,193,353,368,209,669,428,725,114,233,193,548,464,567,351,560,340,482,315,424,541,258,300,8,24,0,398.38
Ludicolo A+WBW/LfS 4/15/15,355,360,388,764,477,303,608,667,522,712,791,597,365,251,373,518,407,787,262,490,470,514,686,615,331,390,518,338,570,626,377,436,15,17,0,495.88
Marowak (Alolan) FS+BC/SBo 5/12/15,792,675,299,346,708,736,572,664,580,142,852,616,304,375,256,476,552,648,224,445,182,421,468,476,540,820,520,624,340,592,402,516,17,15,0,505.09
Meganium (Shadow) VW+FP/Eq 2/12/14,96,338,503,700,768,187,693,398,297,337,231,170,74,109,184,530,197,314,678,768,368,303,575,264,362,175,110,473,200,184,156,156,8,24,0,340.56
Meowscarada Lf+NS/FP 5/14/13,296,418,444,813,786,238,630,421,393,839,560,380,265,297,821,591,463,354,521,821,335,647,264,316,159,171,396,245,526,500,322,118,11,20,1,448.44
Milotic W+AT/Wr 0/11/15,306,286,511,453,432,283,638,458,375,432,679,464,608,308,396,472,664,865,355,832,248,400,438,533,468,690,537,548,473,293,634,478,12,20,0,486.16
Milotic (Shadow) W+AT/Wr 6/12/12,210,295,461,346,454,335,564,557,452,541,812,365,308,568,490,424,629,835,385,786,288,467,522,392,683,645,503,450,363,187,580,591,14,18,0,484
Muk (Shadow) PJ+TP/DP 1/15/2,562,545,209,573,495,657,394,106,492,337,231,361,478,597,517,527,391,338,786,121,364,282,491,264,368,443,182,346,462,364,495,562,9,23,0,416.88
Pelipper WA+WBW/Hu 0/12/15,293,605,329,584,319,274,381,542,339,635,231,150,618,216,652,580,720,580,500,364,580,550,488,588,665,610,175,563,500,462,508,631,17,13,2,476
Poliwrath MS+Sc/IW 0/14/15,417,521,452,492,337,348,472,449,417,353,658,261,322,336,441,404,395,636,203,391,372,421,351,287,400,487,360,557,532,372,658,398,6,26,0,421.88
Primarina Ch+DV/HC 2/15/10,334,199,346,350,328,274,612,199,346,432,367,412,177,226,454,738,810,531,423,310,518,389,482,409,309,371,178,205,208,345,207,156,5,27,0,363.91
Quagsire (Shadow) MS+AT/SE 5/10/14,814,336,621,415,270,35,521,579,408,452,783,829,814,795,585,628,673,847,814,759,306,403,482,649,780,804,637,667,548,78,643,570,22,10,0,579.53
Runerigus SC+SB/RT 5/14/15,210,166,871,469,724,480,385,518,577,242,367,807,216,258,504,559,213,545,628,724,259,457,427,177,591,465,614,479,488,364,642,545,14,18,0,467.84
Salazzle I+PF/DgP 6/15/15,908,691,123,330,656,734,462,721,408,428,821,626,407,343,734,184,586,161,156,656,821,350,401,479,713,734,289,352,280,721,461,691,15,17,0,513.34
Seaking Pk+DR/IW 0/14/14,532,480,158,419,510,621,667,657,408,452,473,218,443,521,614,500,660,582,449,546,266,500,575,398,742,660,614,517,465,510,864,696,18,12,2,522.41
Sealeo PS+S/BS 0/15/14,575,385,222,403,531,642,590,407,706,480,656,452,709,712,342,593,487,534,511,575,357,425,500,500,353,697,460,607,412,537,572,508,17,13,2,513.75
Serperior VW+FP/AA 0/10/15,117,445,465,761,511,261,465,319,261,511,185,480,223,74,564,659,149,240,487,814,354,522,643,579,290,362,132,248,375,394,470,275,9,23,0,394.84
Sharpedo (Shadow) W+Cr/PF 10/12/14,210,243,299,219,657,235,478,365,544,289,657,301,390,464,297,276,556,685,241,713,193,267,177,212,356,346,392,245,246,300,641,279,7,25,0,367.91
Shiftry Sn+LB/FoP 1/10/15,313,595,565,311,606,300,313,842,457,886,657,468,195,234,360,582,310,452,377,606,131,432,386,462,90,275,520,445,318,842,326,220,10,22,0,433.63
Shiinotic A+SeB/M 0/13/11,168,459,520,540,528,264,310,361,417,257,397,608,202,251,564,782,552,401,271,802,324,239,415,206,112,128,328,283,215,424,241,182,8,24,0,367.22
Skeledirge I+TSo/SB 1/15/14,868,627,106,142,627,429,599,412,542,162,496,751,287,340,274,180,471,627,173,627,208,185,546,235,812,765,289,620,420,535,769,656,15,17,0,461.88
Skuntank PJ+Cr/TBl 2/14/13,588,632,209,619,833,351,406,495,503,594,185,313,414,619,622,569,550,448,619,400,317,296,644,302,534,500,688,329,401,641,436,588,16,15,1,488.91
Skuntank (Shadow) PJ+Cr/TBl 0/15/15,540,709,230,553,793,477,481,512,743,546,231,384,621,216,581,388,391,177,389,521,390,339,302,281,500,500,653,358,500,675,637,653,14,15,3,477.22
Slowbro Cf+DrP/S 0/13/15,599,412,286,619,279,235,743,449,252,476,523,325,407,492,364,537,149,609,695,247,375,636,684,613,190,325,520,780,688,319,578,571,15,17,0,468.03
Slowbro (Galarian) Cf+DrP/BrS 15/14/15,496,431,503,419,463,374,517,398,438,261,765,500,723,671,274,636,149,405,453,400,397,353,459,485,325,353,446,601,849,342,513,723,10,21,1,472.56
Slowking Cf+S/P 4/13/15,272,363,286,480,247,235,649,231,252,476,299,325,429,492,252,284,149,527,470,220,375,607,597,538,190,228,260,746,638,266,510,436,8,24,0,385.28
Sneasel (Hisuian) PJ+CC/XS 1/12/12,527,420,765,608,180,390,711,111,240,281,185,361,173,180,274,284,702,177,233,189,332,282,247,235,608,702,146,260,325,558,527,360,9,23,0,361.66
Sneasler (Shadow) SC+CC/XS 1/12/9,220,453,662,396,585,393,711,337,450,242,635,567,304,251,680,256,653,397,233,585,815,417,159,212,698,648,770,193,250,635,815,347,14,18,0,467.78
Starmie Psy+S/PG 0/11/13,690,576,286,633,450,206,842,199,235,253,823,329,566,411,288,256,149,676,623,561,310,460,671,585,623,595,492,642,709,240,804,576,17,15,0,492.47
Swalot MS+Sl/IB 0/15/13,537,662,465,442,490,534,575,425,297,488,359,616,625,540,454,543,587,370,436,481,607,482,392,468,668,639,346,500,397,566,662,729,15,16,1,511.94
Swampert MS+HC/Eq 6/13/14,227,382,532,465,319,164,419,594,254,536,484,551,312,358,364,288,399,711,216,378,357,450,395,279,802,759,620,711,864,244,879,693,12,20,0,468.94
Tentacruel Ac+Sc/Pbk 1/15/15,848,448,461,492,500,518,579,495,459,674,602,265,411,515,685,628,266,643,500,500,628,534,587,594,598,500,579,602,500,409,449,655,17,10,5,535.13
Toedscruel MSl+SeB/Wr 1/15/15,258,469,609,613,454,174,301,628,160,257,246,662,340,336,391,320,366,318,271,526,284,239,186,177,590,723,632,541,609,289,704,515,12,20,0,412.13
Torterra (Shadow) MSl+FP/ST 0/11/11,124,415,487,609,328,70,192,476,313,317,212,906,265,209,193,164,262,425,122,292,416,314,194,191,680,657,503,338,725,214,875,654,8,24,0,379.44
Toxicroak PSt+DyP/SB 1/15/15,571,371,812,411,490,377,428,612,459,480,706,492,131,109,184,526,759,90,156,360,845,407,639,575,548,706,110,335,340,593,526,432,13,19,0,455.63
Toxicroak (Shadow) PSt+DyP/SB 6/15/13,251,366,707,519,700,229,726,538,592,726,657,611,109,145,184,184,703,240,156,454,842,475,561,159,765,726,110,343,329,519,466,603,16,16,0,459.22
Trevenant SC+SeB/SB 5/9/13,189,256,704,681,587,511,354,361,417,693,655,530,216,251,229,452,165,397,530,587,768,496,468,206,359,328,507,439,583,617,814,579,15,17,0,466.53
Tropius AS+LB/BrS 1/9/14,210,548,517,457,543,358,301,508,316,194,215,432,326,230,715,678,583,354,389,543,543,421,389,165,315,362,392,260,337,775,419,338,10,22,0,410.41
Venusaur VW+FP/Sl 4/14/13,96,439,741,704,423,364,627,370,228,831,635,553,209,226,618,528,395,90,590,770,737,680,577,512,346,318,110,271,450,364,516,372,15,17,0,459.06
Vespiquen FC+XS/PG 0/15/11,538,648,376,361,414,383,363,291,379,515,496,606,397,166,652,675,767,157,595,198,572,389,497,494,538,721,599,343,549,797,389,309,14,18,0,474.19
Victreebel ML+LB/SlB 4/12/14,127,177,800,834,459,187,546,319,301,569,573,472,102,127,507,511,411,263,538,742,688,657,308,316,328,409,153,231,469,379,292,334,11,21,0,410.28
Victreebel (Shadow) Ac+LB/SlB 6/15/15,577,697,786,833,405,358,490,282,353,751,462,763,145,287,751,717,596,291,647,418,701,647,612,542,371,456,300,248,416,581,377,674,16,16,0,516.69
Weezing RO+SlB/SB 0/15/13,623,547,384,365,495,717,437,529,722,456,504,581,508,675,585,623,645,598,491,346,504,135,427,444,564,362,534,338,547,154,500,419,17,14,1,492.47
Weezing (Galarian) FW+Sl/BrS 5/12/13,599,418,556,625,771,425,319,324,719,530,393,525,358,273,560,715,659,468,372,436,594,307,497,340,409,350,289,274,344,409,568,603,13,19,0,469.66
Whimsicott FW+SeB/M 4/14/13,127,314,834,546,468,432,273,203,398,452,337,584,74,109,610,783,580,267,491,333,754,350,516,380,115,128,171,72,215,285,300,80,8,24,0,361.91
Whiscash MS+MB/Sc 0/14/13,182,248,630,442,541,170,425,519,247,365,505,636,569,530,292,224,375,658,220,541,379,421,412,465,475,850,508,761,688,78,694,633,15,17,0,458.84
Whiscash (Shadow) MS+MB/Sc 6/9/11,206,284,686,361,292,35,397,663,290,408,348,573,372,234,328,320,439,731,237,414,149,539,476,360,847,810,677,677,596,78,918,706,12,20,0,451.59
Zoroark (Hisuian) SC+SB/FoP 0/15/11,220,747,618,423,788,229,357,587,706,788,634,556,251,608,788,256,125,597,233,788,685,623,206,235,331,623,788,225,747,737,747,207,19,13,0,514.16
